<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.11.02	69418.43	69880.64	68969.28	69376.15	183234	0	0
2024.11.03	69376.17	69399.62	67423.98	68663.35	1192128	0	0
2024.11.04	68655.69	69246.28	66982.04	67789.23	6309002	0	913
2024.11.05	67789.22	69434.77	67789.22	69371.64	8062007	0	593
2024.11.06	69372.50	76419.90	69370.79	75579.90	780269	0	10
2024.11.07	75579.90	76857.10	74450.00	75858.30	88450	0	10
2024.11.08	75859.40	77181.80	75579.90	76557.64	71867	0	10
2024.11.09	76557.40	76981.56	75805.26	76726.05	224859	0	0
2024.11.10	76726.05	81654.50	76544.82	80409.90	363513	0	0
2024.11.11	80409.90	89783.90	80261.20	88728.90	146785	0	10
2024.11.12	88728.90	90031.60	85168.00	87971.90	192287	0	10
2024.11.13	87971.90	93379.90	86180.00	90413.30	174989	0	10
2024.11.14	90413.30	91846.00	86714.10	87382.60	149305	0	10
2024.11.15	87382.60	91886.30	87112.40	91064.67	135188	0	10
2024.11.16	91064.67	91837.22	90105.31	90639.13	464857	0	0
2024.11.17	90661.91	91517.01	88747.90	89899.90	460393	0	0
2024.11.18	89899.90	92699.90	89422.10	90507.40	132559	0	10
2024.11.19	90507.40	93985.80	90405.60	92333.70	109385	0	10
2024.11.20	92345.00	94848.90	91500.00	94287.90	103137	0	10
2024.11.21	94287.90	99089.90	94008.70	98366.70	129270	0	0
2024.11.22	98366.70	99659.90	97199.90	99040.57	91275	0	0
2024.11.23	99040.33	99041.03	97250.68	97815.78	241692	0	0
2024.11.24	97815.78	98703.62	95774.00	97960.40	334336	0	0
2024.11.25	97960.40	98980.00	92666.00	93064.00	106061	0	0
2024.11.26	93064.00	95063.90	90872.00	92021.40	146576	0	10
2024.11.27	92021.40	97249.90	91864.00	95905.20	85879	0	10
2024.11.28	95905.20	96627.40	94700.10	95694.30	70494	0	10
2024.11.29	95694.30	98713.20	95404.50	97567.99	65877	0	0
2024.11.30	97567.99	97585.70	96151.73	96510.77	180802	0	0
2024.12.01	96510.77	97924.80	95738.47	97265.00	258392	0	0
2024.12.02	97265.00	98265.90	94422.30	95890.50	89548	0	0
2024.12.03	95890.50	96374.90	93605.00	95913.30	80380	0	10
2024.12.04	95913.30	99112.60	94650.80	98669.70	84010	0	10
