<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.01	3765.850	3829.510	3736.720	3817.400	156056	0	1610
2024.06.02	3817.400	3834.120	3748.280	3779.240	203226	0	110
2024.06.03	3779.240	3850.360	3755.710	3776.760	482551	0	110
2024.06.04	3776.880	3830.560	3730.020	3813.810	456200	0	110
2024.06.05	3813.460	3887.150	3775.870	3850.290	367602	0	110
2024.06.06	3850.100	3878.700	3756.330	3809.470	407424	0	110
2024.06.07	3809.470	3840.500	3569.250	3691.800	361649	0	110
2024.06.08	3691.870	3707.430	3658.610	3674.510	264549	0	1630
2024.06.09	3674.420	3720.260	3664.650	3705.820	219159	0	110
2024.06.10	3705.800	3712.060	3640.870	3670.830	373413	0	110
2024.06.11	3670.740	3673.800	3427.850	3499.110	487005	0	110
2024.06.12	3498.800	3655.420	3459.690	3568.890	381575	0	110
2024.06.13	3568.840	3569.040	3424.640	3478.300	368668	0	110
2024.06.14	3478.550	3529.030	3357.600	3482.450	357490	0	110
2024.06.15	3482.450	3591.010	3467.450	3567.550	185818	0	540
2024.06.16	3567.550	3649.970	3537.310	3625.330	167790	0	110
2024.06.17	3625.330	3635.520	3461.860	3520.320	465011	0	110
2024.06.18	3520.400	3522.670	3349.140	3477.810	493502	0	110
2024.06.19	3477.560	3584.460	3463.480	3555.430	364734	0	110
2024.06.20	3555.430	3623.330	3481.940	3516.010	448305	0	110
2024.06.21	3515.990	3545.050	3441.980	3520.930	430504	0	2420
2024.06.22	3520.930	3524.700	3472.370	3498.920	227393	0	1780
2024.06.23	3499.100	3518.870	3399.900	3421.340	219115	0	2420
2024.06.24	3421.320	3432.380	3224.920	3329.170	454609	0	1430
2024.06.25	3329.050	3427.460	3326.620	3401.710	376485	0	2420
2024.06.26	3401.730	3423.500	3322.530	3377.490	357882	0	2420
2024.06.27	3376.960	3472.330	3358.130	3445.150	190971	0	2420
2024.06.28	3445.060	3483.390	3359.950	3365.740	175738	0	1630
2024.06.29	3365.740	3401.800	3362.510	3370.150	68634	0	3000
2024.06.30	3370.170	3453.350	3347.330	3443.070	100178	0	2420
2024.07.01	3443.090	3517.360	3418.840	3437.770	322756	0	2420
2024.07.02	3437.630	3459.240	3394.650	3418.090	275733	0	2420
2024.07.03	3418.090	3425.720	3246.610	3297.040	358825	0	1540
2024.07.04	3297.060	3308.190	3085.700	3125.670	181559	0	610
2024.07.05	3125.710	3126.800	2805.940	2976.240	229569	0	0
2024.07.06	2976.190	3079.730	2953.530	3063.300	126776	0	3000
2024.07.07	3063.300	3077.890	2927.140	2935.940	137996	0	1630
2024.07.08	2935.940	3094.290	2821.140	3022.900	234233	0	0
2024.07.09	3022.910	3111.480	3002.480	3058.020	195830	0	2420
2024.07.10	3058.020	3148.900	3021.800	3098.120	190278	0	1510
2024.07.11	3098.120	3214.980	3052.670	3101.300	197724	0	540
2024.07.12	3101.300	3157.890	3044.330	3126.540	214207	0	2420
2024.07.13	3126.630	3195.430	3112.210	3190.230	111880	0	1520
2024.07.14	3190.270	3264.710	3162.160	3245.870	137259	0	1680
2024.07.15	3245.870	3495.600	3231.900	3474.310	231884	0	1290
2024.07.16	3474.570	3499.240	3345.810	3428.160	198584	0	1540
2024.07.17	3428.170	3517.030	3374.640	3394.160	190449	0	1590
2024.07.18	3394.230	3488.970	3365.500	3431.570	476795	0	2420
2024.07.19	3431.830	3540.730	3373.330	3508.980	454543	0	0
2024.07.20	3509.070	3539.160	3480.020	3513.480	186749	0	2170
2024.07.21	3513.050	3547.240	3409.830	3533.420	229215	0	340
2024.07.22	3533.240	3562.380	3434.890	3448.420	483159	0	2420
2024.07.23	3448.550	3539.570	3388.440	3481.490	508246	0	1630
2024.07.24	3481.400	3499.540	3291.150	3327.270	333419	0	0
2024.07.25	3327.540	3340.420	3085.310	3163.490	522394	0	0
2024.07.26	3163.450	3285.400	3161.250	3278.210	459835	0	10
2024.07.27	3278.490	3326.430	3188.020	3273.090	233322	0	1150
2024.07.28	3273.090	3283.220	3196.220	3258.990	178193	0	10
2024.07.29	3259.140	3395.260	3254.820	3327.900	363066	0	80
2024.07.30	3327.980	3365.190	3231.190	3276.610	368967	0	10
2024.07.31	3276.430	3347.380	3210.090	3240.980	212218	0	70
2024.08.01	3240.990	3241.630	3075.880	3205.640	232493	0	1730
2024.08.02	3205.640	3214.760	2966.440	2973.610	236965	0	70
2024.08.03	2973.630	3014.600	2856.300	2906.060	243921	0	820
2024.08.04	2906.060	2930.860	2620.900	2720.050	234927	0	570
2024.08.05	2720.050	2722.180	2035.520	2451.540	437810	0	0
2024.08.06	2451.730	2552.900	2408.980	2474.450	365882	0	2670
2024.08.07	2474.620	2551.060	2306.600	2355.140	355918	0	0
2024.08.08	2355.260	2723.260	2318.820	2705.760	310928	0	1370
2024.08.09	2705.710	2721.870	2551.260	2597.300	386033	0	1150
2024.08.10	2597.300	2643.890	2573.640	2605.550	270170	0	2880
2024.08.11	2605.520	2718.660	2533.320	2565.900	271125	0	2470
2024.08.12	2565.900	2721.830	2507.980	2695.240	321455	0	2940
2024.08.13	2695.250	2748.670	2608.880	2713.400	268285	0	1650
2024.08.14	2713.380	2779.440	2632.740	2669.140	259824	0	2970
2024.08.15	2669.560	2674.680	2514.350	2575.410	472390	0	2180
2024.08.16	2575.500	2630.260	2549.600	2594.420	390628	0	1910
