<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.09.18	1.11180	1.11890	1.10966	1.11218	41335	0	1
2024.09.19	1.11219	1.11786	1.10684	1.11607	49069	0	2
2024.09.20	1.11608	1.11817	1.11359	1.11629	40363	0	3
2024.09.22	1.11615	1.11646	1.11563	1.11621	766	0	3
2024.09.23	1.11621	1.11671	1.10831	1.11110	40234	0	1
2024.09.24	1.11113	1.11888	1.11030	1.11885	38576	0	0
2024.09.25	1.11885	1.12140	1.11214	1.11317	38309	0	0
2024.09.26	1.11316	1.11890	1.11257	1.11760	41368	0	0
2024.09.27	1.11763	1.12028	1.11247	1.11629	44132	0	3
2024.09.29	1.11600	1.11723	1.11524	1.11707	1144	0	3
2024.09.30	1.11708	1.12087	1.11136	1.11414	42071	0	3
2024.10.01	1.11418	1.11439	1.10457	1.10672	44357	0	0
2024.10.02	1.10672	1.10827	1.10326	1.10461	38474	0	2
2024.10.03	1.10462	1.10477	1.10080	1.10342	40163	0	1
2024.10.04	1.10342	1.10396	1.09512	1.09737	38240	0	0
2024.10.06	1.09633	1.09723	1.09543	1.09692	1387	0	3
2024.10.07	1.09693	1.09867	1.09541	1.09777	39263	0	1
2024.10.08	1.09784	1.09970	1.09608	1.09806	36517	0	0
2024.10.09	1.09808	1.09809	1.09360	1.09407	33795	0	0
2024.10.10	1.09407	1.09548	1.09000	1.09337	39108	0	0
2024.10.11	1.09337	1.09537	1.09259	1.09362	28374	0	0
2024.10.13	1.09300	1.09345	1.09270	1.09271	741	0	4
2024.10.14	1.09275	1.09365	1.08879	1.09085	27592	0	0
2024.10.15	1.09085	1.09165	1.08817	1.08896	32982	0	0
2024.10.16	1.08896	1.09013	1.08533	1.08585	30117	0	0
2024.10.17	1.08585	1.08733	1.08109	1.08289	34302	0	0
2024.10.18	1.08290	1.08694	1.08252	1.08666	29162	0	0
2024.10.20	1.08610	1.08717	1.08591	1.08689	836	0	4
2024.10.21	1.08690	1.08695	1.08099	1.08153	28209	0	0
2024.10.22	1.08154	1.08380	1.07921	1.07982	29219	0	0
2024.10.23	1.07983	1.08065	1.07611	1.07820	30740	0	0
2024.10.24	1.07823	1.08297	1.07706	1.08241	32485	0	0
