<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.01	166.03	167.70	164.76	166.52	57020	0	12
2024.06.02	166.52	166.86	161.00	163.04	75584	0	1
2024.06.03	163.03	167.18	161.17	165.30	107610	0	1
2024.06.04	165.29	170.82	164.09	170.56	95809	0	1
2024.06.05	170.56	175.55	170.37	173.12	85829	0	1
2024.06.06	173.12	174.34	167.23	170.43	65828	0	1
2024.06.07	170.43	172.68	150.51	163.00	132753	0	1
2024.06.08	163.00	163.64	157.15	158.36	74494	0	9
2024.06.09	158.32	162.94	156.38	161.84	72014	0	1
2024.06.10	161.85	163.00	157.19	159.21	86771	0	1
2024.06.11	159.17	159.55	144.80	149.40	91524	0	1
2024.06.12	149.40	161.32	145.18	155.40	86027	0	1
2024.06.13	155.40	155.50	145.69	148.01	89508	0	1
2024.06.14	148.01	148.81	139.10	143.10	86239	0	1
2024.06.15	143.12	145.53	142.40	145.32	80043	0	11
2024.06.16	145.33	150.57	142.81	150.18	69296	0	1
2024.06.17	150.19	151.59	139.41	143.64	94670	0	1
2024.06.18	143.64	144.01	126.30	137.40	79706	0	1
2024.06.19	137.48	141.76	133.14	134.49	72821	0	1
2024.06.20	134.50	140.89	131.57	133.79	64220	0	1
2024.06.21	133.74	134.74	128.37	134.64	60280	0	1
2024.06.22	134.65	136.53	132.33	134.16	70860	0	9
2024.06.23	134.15	134.96	128.48	129.03	56482	0	8
2024.06.24	129.04	131.27	121.37	130.12	85595	0	9
2024.06.25	130.13	139.68	130.13	136.71	86244	0	10
2024.06.26	136.71	140.17	134.57	137.23	79556	0	9
2024.06.27	137.22	150.78	134.92	149.84	74010	0	9
2024.06.28	149.83	150.21	139.16	139.49	71011	0	11
2024.06.29	139.49	142.61	139.11	139.61	49704	0	3
2024.06.30	139.61	147.07	136.72	146.72	65804	0	9
2024.07.01	146.65	148.87	145.52	146.54	62054	0	9
2024.07.02	146.54	154.55	145.76	154.33	61764	0	10
2024.07.03	154.33	154.65	136.83	141.12	71115	0	11
2024.07.04	141.12	142.56	129.06	132.24	73154	0	11
2024.07.05	132.24	136.01	120.49	134.13	64497	0	13
2024.07.06	134.14	143.93	132.18	143.81	62837	0	11
2024.07.07	143.81	144.00	132.89	132.91	48737	0	12
2024.07.08	132.91	141.65	127.63	140.20	67461	0	11
2024.07.09	140.20	143.99	136.27	141.11	57562	0	13
2024.07.10	141.15	146.00	138.39	141.46	61543	0	10
2024.07.11	141.47	145.52	135.35	136.60	67558	0	10
2024.07.12	136.60	140.42	133.77	138.76	57902	0	9
2024.07.13	138.75	141.99	137.77	141.95	34001	0	4
2024.07.14	141.98	148.29	141.24	147.13	51211	0	9
2024.07.15	147.13	159.25	146.88	158.75	84600	0	9
2024.07.16	158.74	162.45	152.36	159.83	76343	0	11
2024.07.17	159.82	163.52	154.42	155.89	60552	0	10
2024.07.18	155.83	161.51	154.83	159.89	51846	0	11
2024.07.19	159.85	171.64	156.04	168.77	68410	0	12
2024.07.20	168.77	174.97	167.05	173.33	48530	0	9
2024.07.21	173.32	184.56	170.03	183.88	58686	0	9
2024.07.22	183.89	184.84	176.61	178.50	72886	0	11
2024.07.23	178.49	180.32	170.22	172.74	78245	0	13
2024.07.24	172.75	182.22	170.74	177.10	87630	0	11
2024.07.25	177.10	179.40	164.95	172.13	77877	0	15
2024.07.26	172.14	183.28	170.97	183.13	64007	0	1
2024.07.27	183.13	188.06	177.71	185.48	81061	0	11
