<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	5277.90	5299.70	5233.50	5287.10	0	0	0
2024.06.04	5285.70	5299.10	5248.60	5293.10	0	0	0
2024.06.05	5292.60	5355.80	5290.10	5354.30	0	0	0
2024.06.06	5355.10	5361.60	5334.00	5350.40	0	0	0
2024.06.07	5351.00	5375.70	5318.90	5343.40	0	0	0
2024.06.10	5346.70	5366.10	5328.40	5358.80	0	0	0
2024.06.11	5361.80	5377.50	5326.00	5374.60	0	0	0
2024.06.12	5373.70	5447.10	5372.80	5431.30	0	0	0
2024.06.13	5428.30	5445.60	5402.30	5428.10	0	0	0
2024.06.14	5426.00	5437.40	5392.20	5429.40	0	0	0
2024.06.17	5428.00	5488.70	5420.00	5473.90	0	0	0
2024.06.18	5479.20	5490.70	5469.40	5489.20	0	0	0
2024.06.19	5490.80	5494.90	5487.70	5489.80	0	0	0
2024.06.20	5491.70	5516.70	5455.00	5473.50	0	0	0
2024.06.21	5475.00	5481.70	5451.30	5468.00	0	0	0
2024.06.24	5469.90	5491.00	5442.60	5447.50	0	0	0
2024.06.25	5451.30	5473.70	5444.60	5468.60	0	0	0
2024.06.26	5470.60	5486.40	5451.40	5466.70	0	0	0
2024.06.27	5468.70	5490.40	5451.50	5486.10	0	0	0
2024.06.28	5485.90	5524.00	5450.30	5472.70	0	0	0
2024.07.01	5472.50	5480.70	5444.30	5472.30	0	0	0
2024.07.02	5474.80	5510.90	5443.80	5502.50	0	0	0
2024.07.03	5503.10	5538.70	5501.50	5534.40	0	0	0
2024.07.04	5531.20	5540.00	5528.50	5531.00	0	0	0
2024.07.05	5531.70	5570.80	5530.50	5562.00	0	0	0
2024.07.08	5561.70	5582.60	5555.60	5573.50	0	0	0
2024.07.09	5573.50	5591.80	5573.40	5578.90	0	0	0
2024.07.10	5577.00	5636.00	5576.90	5630.40	0	0	0
2024.07.11	5631.00	5653.90	5576.60	5587.10	0	0	0
2024.07.12	5587.70	5656.10	5570.70	5615.40	0	0	0
2024.07.15	5617.20	5667.70	5613.30	5635.70	0	0	0
