<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.10.23	151.064	153.183	151.049	152.751	59092	0	2
2024.10.24	152.745	152.801	151.549	151.692	61991	0	2
2024.10.25	151.692	152.378	151.441	152.287	54149	0	3
2024.10.27	152.897	153.222	152.658	152.950	5560	0	3
2024.10.28	152.955	153.881	152.409	153.141	59740	0	1
2024.10.29	153.149	153.865	152.752	153.263	61698	0	2
2024.10.30	153.264	153.494	152.778	153.240	61713	0	2
2024.10.31	153.240	153.616	151.787	151.979	71703	0	1
2024.11.01	151.982	153.093	151.791	152.950	61553	0	2
2024.11.03	152.292	152.551	152.179	152.289	3166	0	3
2024.11.04	152.288	152.292	151.533	152.280	62197	0	2
2024.11.05	152.275	152.543	151.334	151.444	58099	0	1
2024.11.06	151.436	154.697	151.287	154.312	100291	0	2
2024.11.07	154.309	154.709	152.692	153.174	79754	0	2
2024.11.08	153.161	153.367	152.141	152.618	70549	0	2
2024.11.10	152.609	152.947	152.606	152.908	2248	0	4
2024.11.11	152.924	153.951	152.871	153.524	52908	0	1
2024.11.12	153.524	154.923	153.403	154.658	62736	0	2
2024.11.13	154.661	155.621	154.342	155.417	67448	0	2
2024.11.14	155.419	156.534	155.405	156.482	66548	0	2
2024.11.15	156.479	156.746	153.860	154.308	74304	0	2
2024.11.17	154.200	154.745	154.200	154.643	2624	0	4
2024.11.18	154.645	155.354	153.838	154.615	72321	0	2
2024.11.19	154.606	154.797	153.282	154.721	75755	0	2
2024.11.20	154.731	155.885	154.588	155.277	61852	0	2
2024.11.21	155.276	155.300	153.908	154.157	76829	0	2
2024.11.22	154.167	155.016	153.965	154.704	69069	0	2
2024.11.24	154.133	154.383	154.053	154.151	3464	0	2
2024.11.25	154.149	154.721	153.547	154.377	72343	0	2
2024.11.26	154.384	154.414	152.933	152.933	74100	0	2
2024.11.27	152.932	153.031	150.453	151.343	77148	0	2
2024.11.28	151.344	151.947	150.981	151.186	46672	0	2
2024.11.29	151.185	151.206	149.465	149.660	74268	0	2
2024.12.01	149.650	150.067	149.475	149.855	2842	0	3
2024.12.02	149.872	150.746	149.079	149.518	76623	0	2
2024.12.03	149.525	150.234	148.640	149.611	69579	0	2
2024.12.04	149.608	151.226	149.525	150.547	72639	0	2
2024.12.05	150.547	150.695	149.654	150.120	68466	0	2
2024.12.06	150.121	150.698	149.365	150.025	62511	0	2
2024.12.08	149.887	150.046	149.814	149.892	1989	0	2
2024.12.09	149.891	151.432	149.691	151.391	58051	0	2
2024.12.10	151.392	152.179	150.895	151.841	63146	0	2
2024.12.11	151.833	152.838	151.002	152.260	65194	0	1
2024.12.12	152.256	152.772	151.801	152.591	65281	0	2
2024.12.13	152.587	153.799	152.552	153.606	52696	0	2
2024.12.15	153.561	153.699	153.431	153.456	1930	0	3
2024.12.16	153.457	154.476	153.325	154.095	51240	0	2
2024.12.17	154.092	154.342	153.160	153.570	58188	0	2
2024.12.18	153.571	154.856	153.335	154.672	58859	0	2
2024.12.19	154.665	157.805	154.464	157.647	74891	0	2
2024.12.20	157.645	157.923	155.951	156.423	72032	0	2
2024.12.22	156.312	156.562	156.288	156.562	2282	0	4
2024.12.23	156.578	157.266	156.337	157.180	52064	0	3
2024.12.24	157.184	157.391	156.889	157.069	37800	0	1
2024.12.25	157.205	157.274	157.099	157.117	1904	0	5
2024.12.26	157.120	158.082	157.067	157.765	42292	0	3
2024.12.27	157.766	157.951	157.349	157.785	46576	0	2
2024.12.29	157.725	157.899	157.631	157.899	1201	0	5
2024.12.30	157.899	158.073	156.673	157.003	49439	0	1
2024.12.31	157.005	157.547	156.020	157.061	52935	0	3
2025.01.01	157.125	157.779	157.125	157.698	2207	0	4
2025.01.02	157.702	157.848	156.440	157.353	61977	0	3
2025.01.03	157.360	157.490	156.873	157.261	48200	0	2
2025.01.05	157.130	157.527	157.130	157.503	1659	0	5
2025.01.06	157.503	157.960	156.241	157.738	61296	0	3
2025.01.07	157.739	158.423	157.398	158.225	54506	0	2
2025.01.08	158.220	158.552	157.902	158.190	58436	0	2
2025.01.09	158.190	158.325	157.575	158.040	47040	0	2
2025.01.10	158.037	158.876	157.223	157.695	60095	0	2
2025.01.12	157.770	157.927	157.608	157.910	2205	0	4
2025.01.13	157.902	157.967	156.912	157.310	58877	0	3
2025.01.14	157.310	158.197	157.054	158.048	59558	0	2
2025.01.15	158.047	158.084	155.948	156.221	61659	0	2
2025.01.16	156.222	156.523	155.059	155.369	65428	0	3
2025.01.17	155.366	156.373	154.980	156.259	56085	0	2
2025.01.19	156.260	156.582	156.144	156.309	2194	0	2
2025.01.20	156.316	156.471	155.164	155.272	57680	0	1
2025.01.21	155.273	156.232	154.770	155.746	68253	0	2
2025.01.22	155.761	156.706	155.352	156.432	56827	0	3
2025.01.23	156.438	156.750	155.743	156.136	55254	0	1
2025.01.24	156.141	156.576	154.839	155.963	68181	0	2
2025.01.26	155.488	155.941	155.488	155.723	2692	0	4
2025.01.27	155.724	156.246	153.712	154.920	80649	0	2
2025.01.28	154.907	155.976	154.801	155.563	61768	0	2
2025.01.29	155.564	155.790	154.939	155.178	65168	0	2
2025.01.30	155.175	155.194	153.791	154.088	67430	0	2
2025.01.31	154.088	155.220	153.913	155.180	68672	0	2
2025.02.02	154.803	155.432	154.696	155.352	4874	0	3
2025.02.03	155.366	155.886	154.005	155.270	83268	0	2
2025.02.04	155.270	155.520	154.032	154.137	65220	0	2
2025.02.05	154.133	154.357	152.111	152.650	70655	0	1
2025.02.06	152.646	152.894	151.154	151.168	66064	0	3
2025.02.07	151.164	152.413	150.931	151.389	67280	0	2
2025.02.09	151.305	151.882	151.210	151.875	3351	0	3
2025.02.10	151.874	152.532	151.569	151.790	57095	0	1
2025.02.11	151.787	152.769	151.650	152.769	54444	0	3
2025.02.12	152.745	154.798	152.730	154.235	65742	0	2
