<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	76.85	77.71	74.18	74.27	0	0	0
2024.06.04	74.27	74.29	72.65	73.14	0	0	0
2024.06.05	72.99	74.44	72.99	74.43	0	0	0
2024.06.06	74.46	75.93	74.21	75.72	0	0	0
2024.06.07	75.79	76.37	75.35	75.43	0	0	0
2024.06.10	75.52	78.25	75.39	78.20	0	0	0
2024.06.11	78.19	78.43	77.31	78.22	0	0	0
2024.06.12	78.20	79.37	77.95	78.43	0	0	0
2024.06.13	78.36	78.93	77.72	77.98	0	0	0
2024.06.14	77.79	79.17	77.76	78.51	0	0	0
2024.06.17	78.40	80.40	77.97	80.34	0	0	0
2024.06.18	80.30	81.25	79.57	81.21	0	0	0
2024.06.19	81.10	81.55	80.70	81.03	0	0	0
2024.06.20	80.97	81.88	80.78	81.67	0	0	0
2024.06.21	81.64	82.14	80.71	80.97	0	0	0
2024.06.24	80.97	82.09	80.56	82.02	0	0	0
2024.06.25	82.04	82.20	80.86	81.09	0	0	0
2024.06.26	81.01	81.93	80.48	81.15	0	0	0
2024.06.27	81.03	82.31	80.79	82.15	0	0	0
2024.06.28	82.11	82.97	81.23	81.77	0	0	0
2024.07.01	81.85	83.85	81.64	83.68	0	0	0
2024.07.02	83.65	84.58	82.93	83.28	0	0	0
2024.07.03	83.22	84.12	82.64	83.82	0	0	0
2024.07.04	83.79	84.37	83.20	84.26	0	0	0
2024.07.05	84.23	84.67	83.24	83.54	0	0	0
2024.07.08	83.08	83.44	82.21	82.40	0	0	0
2024.07.09	82.37	82.58	81.36	81.82	0	0	0
2024.07.10	81.74	82.74	80.90	82.51	0	0	0
2024.07.11	82.44	83.20	81.71	83.03	0	0	0
2024.07.12	82.99	83.81	82.17	82.27	0	0	0
2024.07.15	82.50	82.55	81.48	81.93	0	0	0
2024.07.16	81.88	81.90	80.22	80.83	0	0	0
2024.07.17	80.84	82.74	80.46	82.70	0	0	0
2024.07.18	82.68	83.34	81.68	81.91	0	0	0
2024.07.19	81.78	82.37	79.62	79.74	0	0	0
2024.07.22	79.79	80.05	78.48	79.23	0	0	0
2024.07.23	79.15	79.60	77.27	78.38	0	0	0
2024.07.24	78.26	79.02	77.88	78.33	0	0	0
2024.07.25	78.30	79.28	76.83	79.05	0	0	0
2024.07.26	79.09	79.36	76.95	77.32	0	0	0
2024.07.29	77.96	78.32	76.00	76.53	0	0	0
2024.07.30	76.46	76.58	75.22	75.92	0	0	0
