<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.02	2328.79	2329.52	2323.34	2326.44	2054	0	5
2024.06.03	2326.43	2354.76	2314.77	2350.83	87189	0	5
2024.06.04	2350.81	2352.83	2315.62	2327.83	86755	0	5
2024.06.05	2327.80	2357.79	2325.92	2356.96	81393	0	5
2024.06.06	2356.96	2378.50	2353.44	2377.00	80590	0	5
2024.06.07	2377.00	2387.69	2286.71	2293.38	98345	0	5
2024.06.09	2294.71	2298.44	2289.40	2297.44	2538	0	5
2024.06.10	2297.36	2313.84	2287.78	2309.75	74558	0	5
2024.06.11	2309.84	2319.94	2297.75	2316.88	86252	0	5
2024.06.12	2316.93	2341.66	2310.75	2321.89	85104	0	5
2024.06.13	2321.93	2326.67	2295.67	2302.97	82234	0	5
2024.06.14	2302.98	2336.59	2301.62	2332.60	81613	0	5
2024.06.16	2331.47	2332.87	2327.57	2328.87	1450	0	5
2024.06.17	2328.87	2329.66	2310.03	2321.02	77950	0	5
2024.06.18	2321.04	2333.11	2306.64	2328.18	76692	0	5
2024.06.19	2328.07	2335.06	2323.92	2330.43	53508	0	5
2024.06.20	2330.43	2365.46	2327.81	2359.43	77929	0	5
2024.06.21	2359.42	2368.73	2316.70	2321.42	80016	0	5
2024.06.23	2321.36	2322.93	2318.11	2321.54	1684	0	7
2024.06.24	2321.46	2334.68	2317.73	2331.77	80723	0	5
2024.06.25	2331.79	2337.13	2315.54	2320.72	73333	0	5
2024.06.26	2320.73	2323.72	2293.67	2298.26	80937	0	5
2024.06.27	2298.25	2330.91	2296.54	2326.89	74145	0	5
2024.06.28	2326.93	2339.75	2319.06	2326.40	73433	0	5
2024.06.30	2326.90	2327.58	2322.93	2324.52	1434	0	5
2024.07.01	2324.52	2338.53	2318.50	2331.76	75500	0	5
2024.07.02	2331.81	2336.78	2319.12	2330.10	70164	0	5
2024.07.03	2330.10	2364.92	2326.82	2358.90	71464	0	5
2024.07.04	2358.90	2362.52	2350.64	2357.36	46042	0	5
2024.07.05	2357.36	2392.91	2352.30	2391.06	77095	0	5
2024.07.07	2386.21	2390.19	2384.90	2385.29	1992	0	10
2024.07.08	2385.34	2391.13	2351.14	2359.76	74938	0	5
2024.07.09	2359.79	2371.33	2349.29	2364.31	74656	0	5
2024.07.10	2364.35	2386.61	2363.33	2372.72	68774	0	5
2024.07.11	2372.85	2424.54	2371.44	2414.03	76933	0	5
2024.07.12	2413.93	2418.17	2391.44	2411.59	80502	0	5
2024.07.14	2411.51	2415.37	2406.83	2407.53	2454	0	5
2024.07.15	2407.53	2439.67	2401.32	2420.98	83672	0	5
2024.07.16	2420.94	2469.92	2420.01	2469.02	86509	0	5
2024.07.17	2469.04	2483.54	2451.36	2459.11	173226	0	5
2024.07.18	2459.15	2474.80	2440.23	2444.29	180983	0	5
2024.07.19	2444.29	2445.10	2393.71	2400.30	184142	0	5
2024.07.21	2401.79	2411.57	2400.64	2411.23	3264	0	5
2024.07.22	2411.21	2412.04	2383.71	2395.11	165737	0	5
2024.07.23	2395.07	2411.91	2388.17	2409.24	168695	0	5
2024.07.24	2409.24	2431.90	2392.92	2397.75	181848	0	5
2024.07.25	2397.75	2401.11	2352.97	2363.22	239255	0	5
2024.07.26	2363.24	2390.68	2355.70	2387.34	180905	0	5
2024.07.28	2388.70	2403.05	2387.15	2395.70	5474	0	5
2024.07.29	2395.70	2402.39	2369.54	2383.96	174708	0	5
2024.07.30	2383.96	2412.64	2376.36	2409.09	176731	0	5
2024.07.31	2409.09	2450.80	2403.76	2447.44	210421	0	5
